LONGITUDE,LATITUDE,cluster
-73.62677804694518,45.567779812973136,248
-73.68592845221758,45.519121646516815,274
-73.59145726502281,45.516776173604896,51
-73.63511749556619,45.60287333492722,229
-73.74086583831875,45.44379367110578,1
-73.62977200949133,45.569087282481895,70
-73.55952173803946,45.51703068767586,14
-73.55509979570954,45.52184772735283,268
-73.53324637789731,45.5959485882073,117
-73.62773455110668,45.595962809473335,334
-73.58359279346247,45.49011961797002,275
-73.66346133136122,45.435897884817166,18
-73.58794455481974,45.52297438689021,197
-73.55280289318625,45.524296484521145,79
-73.54525100832706,45.468066919215616,86
-73.59643047140503,45.538473351602704,101
-73.55334174628753,45.50908803258592,154
-73.64085860059707,45.58498230505159,129
-73.68805390052295,45.52136205425702,274
-73.5593055777419,45.51726358890853,14
-73.61354259664107,45.546099057252135,348
-73.67568509558318,45.51358607479359,155
-73.56743138611127,45.57681517284236,383
-73.66125224355017,45.560630628740846,266
-73.67087252098682,45.51055607647633,351
-73.57168669931752,45.50766584377387,400
-73.61859950120001,45.528427406547955,377
-73.59748428653944,45.519113555455995,51
-73.73189510747426,45.52026651662992,48
-73.66862002998278,45.457423844479536,164
-73.80112027320469,45.46202408882921,171
-73.8068480001272,45.49092500236918,9
-73.63622242393714,45.548607400906846,322
-73.78199071712513,45.48506402814353,62
-73.60667414031087,45.63695074539301,350
-73.81584379700429,45.46856672317181,104
-73.75590248472554,45.49063700590748,45
-73.745725001367,45.49101199294006,45
-73.62393446246215,45.62583237330531,240
-73.5863494060711,45.43934765810786,58
-73.65933166139763,45.57384991675953,290
-73.62191573123478,45.62722539370098,240
-73.6620855111615,45.56571861114455,266
-73.77520235443849,45.48336318322021,62
-73.82921674258627,45.462562756465104,210
-73.54652116334609,45.54236356707602,22
-73.63571342145465,45.61472929991401,110
-73.619860843878,45.51783947386042,175
-73.48694173618189,45.693120648270664,409
-73.58089052749092,45.57514630021251,355
-73.8039859438066,45.438246919036175,39
-73.55888725278625,45.610645077838335,257
-73.7864547327776,45.47801162125692,376
-73.8253383108726,45.46253358258746,210
-73.724592272946,45.48924960756542,232
-73.59111486234296,45.5195209792199,51
-73.86141771851685,45.450929531882736,66
-73.5425889992796,45.54119228932202,221
-73.79021985502148,45.47618442569222,376
-73.80988727837118,45.47240289428916,179
-73.79287743273915,45.47856673718141,196
-73.5306165214795,45.60781370041553,220
-73.8462699730554,45.48908054054866,127
-73.63070950201251,45.52737814406138,73
-73.6133141257289,45.51492474993354,272
-73.60651285882437,45.580785788959425,102
-73.66281636363881,45.55187570933154,12
-73.62204599959452,45.54984808479538,271
-73.51265836590844,45.589609075327296,95
-73.55992859142118,45.51657384157721,14
-73.51907612409387,45.59158326404695,95
-73.61768552185097,45.54792986411248,271
-73.55572765413977,45.521190539565694,268
-73.53846757075442,45.60226820388674,363
-73.65654226890499,45.562547689232105,266
-73.64490243077346,45.58881052231542,313
-73.61693846758669,45.62034551287594,52
-73.56110003420123,45.51531626019968,285
-73.56569050316438,45.598083139760014,214
-73.55319981364266,45.5053616715952,335
-73.52565110481858,45.59987381427276,55
-73.63069398471738,45.47185315008033,218
-73.69989180252388,45.53267171285721,354
-73.71068032537646,45.44765361709043,201
-73.57253386173221,45.59916556893877,11
-73.5594798671658,45.596211093379665,82
-73.60162968730823,45.58646816680775,132
-73.53830809830974,45.55119592540452,93
-73.58454718221039,45.48927100047784,275
-73.55625131800242,45.50121358917927,192
-73.69401421905688,45.47953780707313,34
-73.60351208161553,45.58762725711821,132
-73.58577529594157,45.490068508497515,275
-73.71037993978395,45.49239189467431,100
-73.53685976834905,45.55073113314403,93
-73.56773468915331,45.6511782540279,204
-73.58071966398522,45.48553325546358,43
-73.52978320567838,45.60109206018564,220
-73.69695245559768,45.51981085105385,288
-73.70462564050781,45.447475655049416,201
-73.58098165020782,45.55254176318015,332
-73.63203572801426,45.608365882091945,229
-73.67287535217058,45.44013133289335,97
-73.60533735284538,45.62878491766236,350
-73.55750678287053,45.50181411329884,192
-73.5491205442649,45.613886718902194,202
-73.56375083073272,45.49429877707771,328
-73.64577657039032,45.54727537788736,56
-73.59132414578623,45.64313976418551,254
-73.64999236726607,45.56140995384469,320
-73.65913749456901,45.54788935740078,231
-73.65547973773062,45.55153044139615,170
-73.61906296782098,45.56710993757856,128
-73.58689998007104,45.55432491876633,185
-73.60444186344031,45.56052369247108,242
-73.61312419079417,45.56449170856023,128
-73.57907577830866,45.55195029592751,332
-73.63398325735062,45.610221755850276,229
-73.58453140465072,45.452668178305366,284
-73.67840764818145,45.448202951760855,402
-73.55005752591394,45.51104668424822,154
-73.92447504073107,45.47913895021769,247
-73.58385883148866,45.48867618818853,275
-73.69020208212638,45.523642984501905,67
-73.60429649535588,45.587972978066674,132
-73.55194883946241,45.50755059238218,154
-73.58565049829123,45.45404231686738,284
-73.58008689879756,45.484825360169154,43
-73.62320690321029,45.46850892451109,218
-73.71271518522242,45.44770833618065,201
-73.54795018403456,45.51392403067487,154
-73.52151083152518,45.59863775664509,55
-73.58358347182968,45.61857513664099,111
-73.61813531194734,45.46623764687685,394
-73.58505727574831,45.54785272752888,185
-73.69804901437242,45.480716277731304,34
-73.54980015537822,45.53027725560524,139
-73.6898602876066,45.48727896506928,136
-73.74022373871128,45.45003677486693,300
-73.63788660810755,45.48622910632619,389
-73.7226714223735,45.46226361383788,287
-73.69486397334373,45.48348431121988,34
-73.7428646473032,45.44144822906223,1
-73.65934257244865,45.51393099555156,243
-73.57434523908805,45.560103041011885,403
-73.65740978283188,45.51685831988768,243
-73.59546796433038,45.58158740402786,215
-73.58233790008437,45.550986157151314,332
-73.69020271197596,45.48655512643205,136
-73.54803271430436,45.52948164608844,139
-73.62068788772746,45.59990206294942,0
-73.75244112263414,45.44194163317406,167
-73.5634894590266,45.624318665086655,99
-73.70906168594593,45.472834408791314,282
-73.64216106692594,45.59232779966745,313
-73.59721717220604,45.51807293754379,51
-73.63867334189206,45.589097200618525,405
-73.70939389626135,45.47214989783638,282
-73.67004417458466,45.50059550508762,351
-73.57575759608203,45.558669055363566,403
-73.58518128325154,45.54770865245267,185
-73.60715314579706,45.6313816387151,350
-73.57226774787996,45.47769421605058,131
-73.57481581862159,45.559560133994374,403
-73.69664976252811,45.48216302102637,34
-73.73598770379047,45.45425082300846,300
-73.66033892619014,45.512340319349136,243
-73.64201611665557,45.488091163487574,389
-73.58863318322446,45.54377197793738,345
-73.60257495226764,45.57773896566674,102
-73.81385964044165,45.5109311247662,195
-73.5692960786978,45.565926869892145,403
-73.63001711688511,45.482700194066716,253
-73.5575586650948,45.62173825032724,99
-73.56784852687933,45.48038471495627,131
-73.59719197716956,45.532455184136495,147
-73.80570187817638,45.44104988175497,39
-73.51283737315045,45.646996245189854,138
-73.8524068035563,45.507796525247585,200
-73.65040156328888,45.56074253994833,320
-73.64164314426606,45.435630144051714,273
-73.60368721984952,45.53542396923633,281
-73.51046462232145,45.65389059084322,393
-73.56571937757194,45.520780273078,156
-73.55905161064203,45.540234242670195,314
-73.55789377564048,45.54243482870063,193
-73.68516968974075,45.51583419482378,274
-73.5621098987225,45.533659126610715,194
-73.55455022404352,45.56108852188619,184
-73.55347548937512,45.566963349333776,375
-73.53901860912983,45.589890545668254,251
-73.63274341789054,45.5704096005119,70
-73.56921324522615,45.51303498917218,25
-73.84393456383054,45.503822546920254,200
-73.6739092287456,45.44497547007149,97
-73.67190143456924,45.44497401004597,97
-73.63839233813773,45.46283222375875,352
-73.672910091021,45.44496348915026,97
-73.66747565794988,45.445003080987235,18
-73.6900139552086,45.444859830059116,255
-73.6412546782523,45.56884822608235,278
-73.64079181217542,45.56938679843046,278
-73.77264499969168,45.45281814753705,40
-73.63927162714627,45.57118130798161,278
-73.65411695767962,45.53257967121912,177
-73.56746196663457,45.51690989791247,156
-73.53313319432034,45.59953565961854,117
-73.55119436755103,45.59539161095628,206
-73.54846289090605,45.574096496195594,249
-73.55441676424125,45.55638253354507,184
-73.51064763515375,45.65284001697,393
-73.52861569374238,45.519865428459944,317
-73.82254180937719,45.42999835810146,319
-73.53944999932197,45.58883970268011,251
-73.53011236658972,45.604541389543236,220
-73.55521179084063,45.547951865526414,193
-73.56522580792911,45.5238113430175,390
-73.61842580364936,45.581171200819085,198
-73.60887182541678,45.5890530038709,293
-73.59682854588704,45.59221774782477,132
-73.56556132978527,45.52136526893741,156
-73.54303341372618,45.58276755342097,199
-73.59270413756389,45.454978152966,32
-73.5360473978665,45.58654455188261,251
-73.78355500635614,45.44720350725312,292
-73.54435192801263,45.580556444416885,199
-73.65277532969306,45.47578727709259,327
-73.54395559007109,45.581218027054334,199
-73.55400910901992,45.56581426349262,375
-73.55470582676344,45.55310528691907,184
-73.55512159930016,45.54887561744419,193
-73.50604612381507,45.66559612364,151
-73.87475937280078,45.46503668689071,144
-73.57653601875606,45.51184037600391,353
-73.64046929370625,45.471067102195356,118
-73.58203868648629,45.470057961265695,115
-73.59061409441799,45.6032277433582,358
-73.58641591388954,45.52083325927855,161
-73.55845499426864,45.54892690670594,193
-73.56809448912911,45.51187935601605,25
-73.5665880470936,45.51183525215465,25
-73.54552564672437,45.54503696885826,22
-73.58933872452236,45.52145706570627,161
-73.58170323069432,45.51801638430785,212
-73.62226092982935,45.536330885643935,236
-73.61269251322719,45.42653311773979,103
-73.6384764855374,45.540933827803066,123
-73.84925827596739,45.48759773868677,127
-73.57261246974949,45.51391022420843,25
-73.59417848548952,45.604795058756366,358
-73.58821816512712,45.575346182216094,233
-73.65716755659838,45.54619559669326,231
-73.58487824643792,45.52012870337526,161
-73.66866113084262,45.54963767076314,338
-73.8232266003616,45.461327218964975,104
-73.54481945310215,45.602167015444415,33
-73.55379560228054,45.5055577292407,335
-73.5869036400571,45.60162893367261,358
-73.61590420652443,45.5327351543399,237
-73.54568458325512,45.60230530915613,33
-73.57796968767495,45.51632728395912,344
-73.64377806572341,45.54230260694445,261
-73.70080954124782,45.50660111225156,182
-73.65365072778522,45.55161443233865,170
-73.61027432878066,45.49571315886612,145
-73.55446030181592,45.505787882011404,335
-73.56382256919626,45.50987066733993,159
-73.58404716585198,45.5190539996411,161
-73.55141819653839,45.546820184535264,381
-73.55525172246666,45.50553125375631,335
-73.61200205972254,45.58316059100787,198
-73.6769260449459,45.44495284014521,402
-73.63527823235741,45.461638893376346,352
-73.79412025435245,45.46432902510736,396
-73.57229998149828,45.49870484764846,245
-73.60825602123727,45.58955749350965,293
-73.65986198656003,45.54697314059043,231
-73.53880385174918,45.5430084918711,221
-73.81707780332474,45.4473991751056,224
-73.61136873587323,45.53245173595555,237
-73.64565283851448,45.57302249616546,24
-73.59704914320692,45.56027383145717,283
-73.70946203925192,45.536812474231084,259
-73.6139488086676,45.58935399454869,310
-73.60234817050264,45.56262460278003,242
-73.67100616929447,45.55036500404166,338
-73.56455581073043,45.4758154186196,291
-73.80607681487761,45.51085345908436,195
-73.63445244349873,45.5398812992843,123
-73.63413268736299,45.54044470324266,123
-73.6430071773322,45.54207542095042,261
-73.5624614252446,45.478063906329325,291
-73.56676909789088,45.51126374694145,25
-73.62190903797668,45.53691311485664,236
-73.60222759513263,45.6401450742845,23
-73.82116638998613,45.466680196346665,104
-73.64523376462351,45.59639384158384,313
-73.57392230763001,45.56374640040104,403
-73.61873635097648,45.604313262203505,205
-73.58287766701908,45.55567273786443,332
-73.58146599324036,45.56609751013392,64
-73.66449803850452,45.431488866346484,130
-73.60568726666,45.5640916203262,242
-73.58296672249446,45.481220545623856,43
-73.75233234972553,45.490842914045864,45
-73.82091608174099,45.466019420811946,104
-73.71640857050431,45.43861738667249,201
-73.6687505778032,45.50974070762225,351
-73.58096611327565,45.53139764122149,173
-73.65672295570164,45.54214346947455,231
-73.6610300050154,45.53384778877089,177
-73.55660609926774,45.520245257331126,268
-73.64233807884548,45.46873385771412,118
-73.64996178408794,45.557333871283255,170
-73.6585744166895,45.55906835097689,170
-73.53166439123427,45.59545864917255,117
-73.62837718532568,45.50844949010725,239
-73.68246128869401,45.51782686845403,274
-73.54270166217492,45.46869997227253,86
-73.59026566890513,45.460702154322014,149
-73.65818881182413,45.559741250661034,266
-73.60651948589944,45.54305607818752,337
-73.65338116900254,45.568182242842795,107
-73.619025450023,45.50447156004955,78
-73.62596012803456,45.59426794608727,50
-73.55376730548,45.523256629853314,79
-73.65475506539818,45.54550705116722,56
-73.54789529697389,45.61540579348054,202
-73.55894956663126,45.517657741431165,14
-73.61230310162314,45.59114178532196,310
-73.67591808827567,45.441975885072885,97
-73.53694023336645,45.61167248068782,363
-73.70099191687143,45.53813657724668,31
-73.70655809170377,45.54159568282701,259
-73.67809302260352,45.50703149672554,351
-73.5762673468528,45.50980901884174,353
-73.61123073013282,45.61497025965812,140
-73.55772999519655,45.51903440051749,268
-73.6078119496411,45.611770158099766,140
-73.69879889152298,45.530052093159526,354
-73.59678119798157,45.5781804391592,215
-73.57704525145884,45.49582929967909,84
-73.5945409807183,45.58066134947266,215
-73.54826509422276,45.55250024304145,49
-73.59666612737149,45.54315887405548,101
-73.65387178909008,45.56096420862929,170
-73.69628437279674,45.53584650548546,31
-73.58972948521435,45.53995507580136,28
-73.56774479681665,45.505373642241814,380
-73.55572661663568,45.50468122055556,335
-73.59074287089949,45.540419158260455,345
-73.58133644915627,45.53604057013894,359
-73.58179259171678,45.53625169736971,359
-73.58423110992521,45.577407528954595,355
-73.57274237539663,45.53206459119588,211
-73.56392464629681,45.527945481911786,63
-73.55516173566515,45.504524913108725,335
-73.55664504234659,45.50492669587658,335
-73.76164964387472,45.44752574040784,365
-73.57619750464912,45.56659339038089,403
-73.59323919328281,45.54158575727726,345
-73.61617609369851,45.55197649416754,271
-73.64901411784116,45.452029503182985,397
-73.56193225564787,45.52704984479559,191
-73.80031655419467,45.444159661081954,88
-73.76110612455138,45.44592524754618,365
-73.66941485692446,45.441972217762,18
-73.65073395276254,45.57168473811841,107
-73.65119583122224,45.57114556915163,107
-73.58643551141655,45.47736233688414,115
-73.61794418087995,45.474350957100064,244
-73.7007876493203,45.528501989622576,354
-73.71858383986896,45.43891019632904,270
-73.6376420290395,45.549861375019844,322
-73.60990053843757,45.48191777491151,307
-73.8764820118406,45.46021232705513,5
-73.62283971417645,45.60702190154555,407
-73.61949641000506,45.597568262103046,0
-73.57878513890512,45.49667954546755,84
-73.604073520409,45.56990182042929,26
-73.81746430287247,45.43479980833543,39
-73.5422178074148,45.60749578271671,363
-73.60210633979577,45.57208449234949,26
-73.53964472467159,45.545966712494454,323
-73.56562043102637,45.534610992455846,63
-73.69619873786829,45.46998219378134,304
-73.60680112566732,45.48527308247335,307
-73.68831198122369,45.49797168365654,289
-73.63566179109705,45.53139356113324,21
-73.63089174968535,45.58676232552603,372
-73.61230801436683,45.52046426327999,89
-73.73940431627206,45.51903627156735,48
